aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3,hour,day_of_week,month,aqi_lag_1h,pm2_5_lag_1h,pm10_lag_1h,co_lag_1h,no_lag_1h,no2_lag_1h,o3_lag_1h,so2_lag_1h,nh3_lag_1h
4,53.84,59.5,423.91,0.51,4.8,134.47,10.37,3.86,9.0,1.0,1.0,4.0,60.9,67.32,453.95,0.56,4.84,135.9,10.85,4.5
4,55.44,61.66,487.33,0.95,10.2,127.32,14.07,5.07,10.0,1.0,1.0,4.0,53.84,59.5,423.91,0.51,4.8,134.47,10.37,3.86
4,62.48,70.24,654.22,1.49,22.28,110.15,20.27,7.73,11.0,1.0,1.0,4.0,55.44,61.66,487.33,0.95,10.2,127.32,14.07,5.07
4,67.03,76.39,814.44,0.86,37.36,87.26,23.84,10.01,12.0,1.0,1.0,4.0,62.48,70.24,654.22,1.49,22.28,110.15,20.27,7.73
5,75.02,88.05,1041.41,0.04,53.47,55.07,24.56,14.19,13.0,1.0,1.0,4.0,67.03,76.39,814.44,0.86,37.36,87.26,23.84,10.01
5,90.98,111.65,1361.85,0.09,67.86,24.32,24.08,20.01,14.0,1.0,1.0,5.0,75.02,88.05,1041.41,0.04,53.47,55.07,24.56,14.19
5,105.57,133.85,1508.71,0.42,69.23,13.77,21.7,23.81,15.0,1.0,1.0,5.0,90.98,111.65,1361.85,0.09,67.86,24.32,24.08,20.01
5,123.32,157.29,1575.47,0.5,65.8,12.16,21.22,25.59,16.0,1.0,1.0,5.0,105.57,133.85,1508.71,0.42,69.23,13.77,21.7,23.81
5,144.37,182.82,1602.17,1.02,61.69,7.96,20.5,25.33,17.0,1.0,1.0,5.0,123.32,157.29,1575.47,0.5,65.8,12.16,21.22,25.59
5,159.72,198.92,1482.01,1.58,54.15,5.1,17.17,19.76,18.0,1.0,1.0,5.0,144.37,182.82,1602.17,1.02,61.69,7.96,20.5,25.33
5,174.93,211.21,1308.44,1.01,46.61,5.99,17.88,18.75,19.0,1.0,1.0,5.0,159.72,198.92,1482.01,1.58,54.15,5.1,17.17,19.76
5,194.01,229.28,1268.39,0.41,43.53,8.4,24.56,23.56,20.0,1.0,1.0,5.0,174.93,211.21,1308.44,1.01,46.61,5.99,17.88,18.75
5,207.4,242.63,1321.79,0.28,43.87,9.03,31.47,29.13,21.0,1.0,1.0,5.0,194.01,229.28,1268.39,0.41,43.53,8.4,24.56,23.56
5,214.77,249.97,1335.14,0.24,43.53,9.3,34.81,34.96,22.0,1.0,1.0,5.0,207.4,242.63,1321.79,0.28,43.87,9.03,31.47,29.13
5,214.72,249.9,1361.85,0.3,43.87,8.76,36.72,41.54,23.0,1.0,1.0,5.0,214.77,249.97,1335.14,0.24,43.53,9.3,34.81,34.96
5,206.63,242.74,1415.25,1.02,46.61,4.92,38.62,49.65,0.0,2.0,1.0,5.0,214.72,249.9,1361.85,0.3,43.87,8.76,36.72,41.54
5,194.35,231.91,1548.77,6.48,49.35,0.79,41.01,56.74,1.0,2.0,1.0,5.0,206.63,242.74,1415.25,1.02,46.61,4.92,38.62,49.65
5,200.6,242.41,1976.01,25.7,50.72,0.01,47.21,64.34,2.0,2.0,1.0,5.0,194.35,231.91,1548.77,6.48,49.35,0.79,41.01,56.74
5,218.82,266.28,2536.77,56.77,53.47,0.75,56.27,72.96,3.0,2.0,1.0,5.0,200.6,242.41,1976.01,25.7,50.72,0.01,47.21,64.34
5,234.5,283.2,2964.02,74.21,56.21,4.47,61.99,72.96,4.0,2.0,1.0,5.0,218.82,266.28,2536.77,56.77,53.47,0.75,56.27,72.96
5,230.77,272.63,2964.02,56.33,63.75,14.84,51.02,53.2,5.0,2.0,1.0,5.0,234.5,283.2,2964.02,74.21,56.21,4.47,61.99,72.96
5,206.86,237.86,2403.26,22.35,61.69,52.21,36.72,31.66,6.0,2.0,1.0,5.0,230.77,272.63,2964.02,56.33,63.75,14.84,51.02,53.2
5,102.0,114.12,794.41,1.87,14.05,125.89,22.17,10.77,7.0,2.0,1.0,5.0,206.86,237.86,2403.26,22.35,61.69,52.21,36.72,31.66
4,39.69,45.98,433.92,0.66,5.18,145.91,10.25,3.48,8.0,0.0,2.0,5.0,102.0,114.12,794.41,1.87,14.05,125.89,22.17,10.77
4,40.59,46.48,440.6,0.59,5.27,154.5,10.13,3.7,9.0,0.0,2.0,4.0,39.69,45.98,433.92,0.66,5.18,145.91,10.25,3.48
4,39.02,44.74,433.92,0.61,6.0,153.06,9.42,3.93,10.0,0.0,2.0,4.0,40.59,46.48,440.6,0.59,5.27,154.5,10.13,3.7
4,35.51,40.85,433.92,0.69,7.71,141.62,9.3,4.05,11.0,0.0,2.0,4.0,39.02,44.74,433.92,0.61,6.0,153.06,9.42,3.93
3,35.88,40.97,433.92,0.52,9.68,133.04,10.25,3.8,12.0,0.0,2.0,4.0,35.51,40.85,433.92,0.69,7.71,141.62,9.3,4.05
3,46.81,52.91,467.3,0.08,13.02,137.33,14.54,4.56,13.0,0.0,2.0,3.0,35.88,40.97,433.92,0.52,9.68,133.04,10.25,3.8
5,82.17,92.47,594.14,0.0,18.16,157.36,30.52,6.71,14.0,0.0,2.0,3.0,46.81,52.91,467.3,0.08,13.02,137.33,14.54,4.56
5,112.34,126.99,727.65,0.0,22.62,158.79,46.73,8.23,15.0,0.0,2.0,5.0,82.17,92.47,594.14,0.0,18.16,157.36,30.52,6.71
5,111.1,128.42,821.11,0.0,27.76,124.45,48.16,10.64,16.0,0.0,2.0,5.0,112.34,126.99,727.65,0.0,22.62,158.79,46.73,8.23
5,104.96,124.67,881.2,0.0,33.24,85.12,41.48,13.17,17.0,0.0,2.0,5.0,111.1,128.42,821.11,0.0,27.76,124.45,48.16,10.64
5,98.04,118.14,854.49,0.0,35.99,57.94,34.33,13.43,18.0,0.0,2.0,5.0,104.96,124.67,881.2,0.0,33.24,85.12,41.48,13.17
